estacion,fecha,ndvi,sensor
Caño Clarín,2015-12,0.5621,Landsat 8
VIPIS,2015-12,-0.0729,Landsat 8
Isla Boquerón,2016-01,0.2877,Landsat 8
Punta Cerro,2016-01,0.1668,Landsat 8
Punta Chino,2016-01,0.3311,Landsat 8
Río Sevilla,2016-01,0.3113,Landsat 8
Caño Palos,2016-01,0.622,Landsat 8
CP Pajarales,2016-01,0.5895,Landsat 8
Caño Clarín,2016-01,0.5031,Landsat 8
VIPIS,2016-01,0.0105,Landsat 8
Isla Boquerón,2016-02,0.2829,Landsat 8
Punta Cerro,2016-02,0.2204,Landsat 8
Punta Chino,2016-02,0.3287,Landsat 8
Río Sevilla,2016-02,0.3076,Landsat 8
Caño Palos,2016-02,0.5021,Landsat 8
CP Pajarales,2016-02,0.5329,Landsat 8
Caño Clarín,2016-02,0.4264,Landsat 8
VIPIS,2016-02,0.0101,Landsat 8
Isla Boquerón,2016-03,0.4105,Landsat 8
Punta Chino,2016-03,0.2378,Landsat 8
Río Sevilla,2016-03,0.2999,Landsat 8
Caño Palos,2016-03,0.4722,Landsat 8
CP Pajarales,2016-03,0.4499,Landsat 8
Caño Clarín,2016-03,0.4129,Landsat 8
VIPIS,2016-03,0.0445,Landsat 8
Isla Boquerón,2016-04,0.2619,Landsat 8
Punta Cerro,2016-04,0.3386,Landsat 8
Punta Chino,2016-04,0.3293,Landsat 8
Río Sevilla,2016-04,0.1931,Landsat 8
Caño Palos,2016-04,0.3861,Landsat 8
CP Pajarales,2016-04,0.4922,Landsat 8
VIPIS,2016-04,-0.2907,Landsat 8
Isla Boquerón,2016-05,0.3278,Landsat 8
Punta Cerro,2016-05,0.2549,Landsat 8
Punta Chino,2016-05,0.3089,Landsat 8
Río Sevilla,2016-05,0.3039,Landsat 8
Caño Palos,2016-05,0.4638,Landsat 8
CP Pajarales,2016-05,0.6839,Landsat 8
Caño Clarín,2016-05,0.5532,Landsat 8
VIPIS,2016-05,0.0017,Landsat 8
Isla Boquerón,2016-06,0.337,Landsat 8
Punta Cerro,2016-06,0.3095,Landsat 8
Punta Chino,2016-06,0.3981,Landsat 8
Río Sevilla,2016-06,0.3569,Landsat 8
Caño Palos,2016-06,0.4559,Landsat 8
CP Pajarales,2016-06,0.7576,Landsat 8
Caño Clarín,2016-06,0.5987,Landsat 8
VIPIS,2016-06,0.0491,Landsat 8
Isla Boquerón,2016-07,0.3838,Landsat 8
Punta Cerro,2016-07,0.3381,Landsat 8
Punta Chino,2016-07,0.4279,Landsat 8
Río Sevilla,2016-07,0.4491,Landsat 8
Caño Palos,2016-07,0.5347,Landsat 8
CP Pajarales,2016-07,0.6372,Landsat 8
Caño Clarín,2016-07,0.5779,Landsat 8
Isla Boquerón,2016-08,0.4033,Landsat 8
Punta Cerro,2016-08,0.3597,Landsat 8
Punta Chino,2016-08,0.4697,Landsat 8
Río Sevilla,2016-08,0.4569,Landsat 8
Caño Palos,2016-08,0.3804,Landsat 8
Caño Clarín,2016-08,0.5919,Landsat 8
VIPIS,2016-08,0.0567,Landsat 8
Isla Boquerón,2016-09,0.4316,Landsat 8
Punta Cerro,2016-09,0.3703,Landsat 8
Punta Chino,2016-09,0.4412,Landsat 8
Río Sevilla,2016-09,0.4368,Landsat 8
Caño Palos,2016-09,0.5344,Landsat 8
CP Pajarales,2016-09,0.7293,Landsat 8
Caño Clarín,2016-09,0.5042,Landsat 8
VIPIS,2016-09,-0.1324,Landsat 8
Isla Boquerón,2016-10,0.3543,Landsat 8
Punta Cerro,2016-10,0.3148,Landsat 8
Punta Chino,2016-10,0.39,Landsat 8
Río Sevilla,2016-10,0.4284,Landsat 8
Caño Palos,2016-10,0.5919,Landsat 8
CP Pajarales,2016-10,0.7295,Landsat 8
VIPIS,2016-10,-0.0616,Landsat 8
Isla Boquerón,2016-11,0.3507,Landsat 8
Punta Cerro,2016-11,0.4788,Landsat 8
Punta Chino,2016-11,0.5836,Landsat 8
Río Sevilla,2016-11,0.4773,Landsat 8
Caño Palos,2016-11,0.5718,Landsat 8
CP Pajarales,2016-11,0.6529,Landsat 8
VIPIS,2016-11,-0.2096,Landsat 8
Isla Boquerón,2016-12,0.2543,Landsat 8
Punta Cerro,2016-12,0.2322,Landsat 8
Punta Chino,2016-12,0.3077,Landsat 8
Río Sevilla,2016-12,0.3956,Landsat 8
Caño Palos,2016-12,0.5829,Landsat 8
CP Pajarales,2016-12,0.6801,Landsat 8
Caño Clarín,2016-12,0.4158,Landsat 8
VIPIS,2016-12,-0.1288,Landsat 8
Isla Boquerón,2017-01,0.2003,Landsat 8
Punta Cerro,2017-01,0.1702,Landsat 8
Punta Chino,2017-01,0.2283,Landsat 8
Río Sevilla,2017-01,0.2939,Landsat 8
Caño Palos,2017-01,0.5548,Landsat 8
CP Pajarales,2017-01,0.6067,Landsat 8
Caño Clarín,2017-01,0.4085,Landsat 8
VIPIS,2017-01,-0.0446,Landsat 8
Isla Boquerón,2017-02,0.1538,Landsat 8
Punta Cerro,2017-02,0.1193,Landsat 8
Punta Chino,2017-02,0.1911,Landsat 8
Río Sevilla,2017-02,0.2954,Landsat 8
Caño Palos,2017-02,0.5094,Landsat 8
CP Pajarales,2017-02,0.5996,Landsat 8
Caño Clarín,2017-02,0.4266,Landsat 8
VIPIS,2017-02,0.0826,Landsat 8
Isla Boquerón,2017-03,0.1574,Landsat 8
Punta Cerro,2017-03,0.1657,Landsat 8
Punta Chino,2017-03,0.1929,Landsat 8
Río Sevilla,2017-03,0.2645,Landsat 8
